Province,num_poor_urb,num_poor_rur,num_poor_tot,perc_poor_urb,perc_poor_rur,perc_poor_tot,pov_line_urb,pov_line_rur,pov_line_tot,pov_gap_urb,pov_gap_rur,pov_gap_tot,pov_sev_urb,pov_sev_rur,pov_sev_tot
Aceh,176.02,718.78,894.81,13.69,21.87,19.57,333 355,292 085,303 692,2.78,3.78,3.5,0.84,0.98,0.94
Sumatera Utara,691.13,790.18,1 481.31,10.75,11.89,11.33,271 713,222 226,246 560,1.84,1.85,1.84,0.53,0.49,0.51
Sumatera Barat,140.49,301.59,442.09,7.42,10.07,9.04,293 018,241 924,261 719,1.25,1.42,1.36,0.35,0.36,0.35
Riau,141.92,340.13,482.05,6.37,9.83,8.47,306 504,267 007,282 479,0.77,1.49,1.21,0.16,0.37,0.29
Jambi,108.17,164.51,272.67,11.19,7.53,8.65,294 522,219 144,242 272,1.31,0.81,0.96,0.26,0.14,0.18
Sumatera Selatan,409.15,665.66,1 074.81,15.15,13.73,14.24,275 006,214 727,236 298,2.97,2.29,2.54,0.87,0.58,0.69
Bengkulu,95.28,208.33,303.6,17.74,17.39,17.5,284 337,235 983,250 949,2.83,2.49,2.6,0.73,0.56,0.62
Lampung,241.94,1 056.77,1 298.71,12.27,18.54,16.93,270 303,221 543,234 073,2.07,3.02,2.77,0.52,0.79,0.72
Bangka Belitung,25.32,46.74,72.06,4.11,7.35,5.75,323 328,323 938,323 638,0.33,0.98,0.66,0.04,0.21,0.13
Kepulauan Riau,106.35,23.21,129.56,7.35,7.65,7.4,350 828,291 693,340 581,0.99,1.12,1.01,0.37,0.27,0.35
DKI Jakarta,363.42,0,363.42,3.75,-,3.75,355 480,-,355 480,0.6,-,0.6,0.15,-,0.15
Jawa Barat,2 654.69,1 993.93,4 648.63,9.26,13.32,10.65,228 401,204 199,220 098,1.51,2.14,1.72,0.38,0.53,0.43
Jawa Tengah,2 092.51,3 014.85,5 107.36,14.12,17.14,15.76,222 430,198 814,209 611,2.46,2.64,2.56,0.66,0.66,0.66
DI Yogyakarta,304.34,256.55,560.88,13.16,21.82,16.08,265 752,217 923,249 629,1.93,3.67,2.51,0.5,0.93,0.65
Jawa Timur,1 768.23,3 587.98,5 356.21,9.87,18.19,14.23,234 546,206 275,219 727,1.51,2.96,2.27,0.34,0.72,0.54
Banten,335.53,354.96,690.49,4.61,9.75,6.32,236 672,206 639,226 662,0.67,1.36,0.9,0.14,0.33,0.2
Bali,92.95,73.28,166.23,3.91,4.65,4.2,248 431,210 147,233 172,0.76,0.52,0.66,0.2,0.09,0.16
Nusa Tenggara Barat,448.14,446.63,894.77,23.67,16.9,19.73,244 960,194 518,215 576,4.58,2.8,3.54,1.25,0.71,0.94
Nusa Tenggara Timur,117.04,895.87,1 012.90,12.5,23.36,21.23,267 669,181 679,198 553,2.27,4.67,4.2,0.65,1.42,1.27
Kalimantan Barat,84.47,295.64,380.11,6.33,9.59,8.6,225 245,198 886,206 850,0.91,1.38,1.24,0.2,0.31,0.28
Kalimantan Tengah,29.36,117.54,146.91,3.91,7.89,6.56,244 312,240 121,241 525,0.82,1.07,0.99,0.26,0.23,0.24
Kalimantan selatan,59.47,135.15,194.62,3.84,6.34,5.29,256 850,225 235,238 535,0.54,1,0.81,0.11,0.27,0.2
Kalimantan Timur,92.14,155.77,247.9,4.06,11.21,6.77,339 392,279 920,316 819,0.66,1.35,0.92,0.19,0.29,0.23
Sulawesi Utara,77.25,117.65,194.9,7.46,9.37,8.51,220 805,206 241,212 823,0.89,1.28,1.1,0.18,0.29,0.24
Sulawesi Tengah,61.9,361.74,423.63,9.46,17.89,15.83,263 326,226 509,235 512,1.93,3.03,2.76,0.59,0.81,0.75
Sulawesi Selatan,137.02,695.89,832.91,4.61,13.57,10.29,200 781,167 862,179 933,0.67,2.21,1.65,0.16,0.53,0.4
Sulawesi Tenggara,29.84,300.17,330,4.8,18.24,14.56,194 234,176 799,181 577,0.7,3.33,2.61,0.16,0.89,0.69
Gorontalo,19.29,178.98,198.27,5.37,25.65,18.75,194 161,183 637,187 215,0.9,5.17,3.72,0.18,1.43,1
Sulawesi Barat,29.68,135.19,164.86,10.77,14.83,13.89,196 261,182 951,186 041,1.3,2.63,2.32,0.3,0.71,0.61
Maluku,59.6,300.72,360.32,10.24,30.54,23,265 475,233 084,245 120,1.98,6.77,4.99,0.55,2.13,1.54
Maluku Utara,8.09,89.22,97.31,2.8,11.58,9.18,251 429,215 409,225 242,0.15,1.5,1.13,0.01,0.28,0.21
Papua Barat,10.78,239.06,249.84,6.05,39.56,31.92,342 709,311 737,318 796,0.8,11.13,8.78,0.14,4.4,3.43
Papua,35.27,909.53,944.79,4.6,41.58,31.98,314 606,262 626,276 116,0.7,10.37,7.86,0.15,3.74,2.81
